Price;Açılış;Yüksek;Düşük;Hac.;Fark %
7,55;7,42;7,55;7,31;6,12M;1,89%
7,41;7,42;7,62;7,21;9,31M;0,14%
7,4;7,62;7,72;7,27;11,55M;-1,20%
7,49;7,28;7,56;7,2;10,56M;3,45%
7,24;6,91;7,45;6,84;12,57M;4,78%
6,91;6,91;7,3;6,85;10,38M;0,00%
6,91;6,54;7,07;6,54;13,96M;7,13%
6,45;6,29;6,46;6,2;5,57M;2,87%
6,27;6,2;6,34;6,18;6,27M;0,48%
6,24;6,38;6,49;6,21;4,20M;-1,73%
6,35;6,59;6,65;6,25;6,14M;-3,64%
6,59;6,32;6,75;6,29;9,20M;2,97%
6,4;6,4;6,45;6,3;2,21M;0,00%
6,4;6,25;6,41;6,14;4,78M;5,09%
6,09;5,8;6,09;5,8;4,62M;6,10%
5,74;5,85;5,92;5,74;3,78M;-1,03%
5,8;5,92;5,97;5,8;4,60M;-2,36%
5,94;6,11;6,16;5,93;4,71M;-1,66%
6,04;6,2;6,25;5,93;6,06M;-2,58%
6,2;6,15;6,39;6,03;9,28M;1,81%
6,09;6,11;6,13;5,95;6,14M;0,33%
6,07;6,11;6,2;5,96;6,67M;-0,49%
6,1;6,45;6,47;6,02;5,63M;-4,54%
6,39;6,49;6,75;6,36;6,27M;-1,08%
6,46;6,52;6,61;6,4;5,02M;-0,77%
6,51;6,85;6,9;6,51;6,58M;-4,41%
6,81;6,83;6,98;6,7;5,57M;-0,29%
6,83;6,6;6,91;6,58;4,47M;3,33%
6,61;6,88;7,17;6,61;10,80M;-3,08%
6,82;6,82;6,92;6,69;5,08M;2,25%
6,67;6,73;6,92;6,67;5,75M;-0,74%
6,72;7;7;6,69;7,20M;-2,89%
6,92;7,16;7,27;6,87;5,93M;-2,67%
7,11;7,54;7,54;7,11;7,13M;-1,25%
7,2;7,39;7,48;7,07;7,64M;-1,10%
7,28;7,02;7,29;7,02;9,75M;3,85%
7,01;7,4;7,45;6,72;13,87M;-5,01%
7,38;7,61;7,85;7,33;11,73M;-2,77%
7,59;7,95;8,15;7,59;15,90M;-4,17%
7,92;7,92;8,18;7,87;9,87M;0,00%
7,92;8,15;8,3;7,87;11,86M;-2,58%
8,13;8,24;8,27;8,01;8,08M;-1,33%
8,24;7,81;8,34;7,56;20,56M;5,64%
7,8;8,2;8,25;7,8;14,37M;-3,47%
8,08;7,95;8,4;7,79;16,23M;1,64%
7,95;7,71;8;7,5;8,36M;3,25%
7,7;8,01;8,03;7,67;7,02M;-3,27%
7,96;8,19;8,24;7,86;10,47M;-0,25%
7,98;7,85;8,49;7,85;14,80M;1,92%
7,83;8,13;8,16;7,8;9,23M;-3,69%
8,13;8,18;8,27;8,04;6,80M;0,99%
8,05;8,17;8,26;7,95;7,10M;-1,47%
8,17;8,31;8,43;8,07;9,39M;-1,21%
8,27;8,3;8,67;8,22;10,94M;1,47%
8,15;8,24;8,45;8,04;23,68M;1,87%
8;7,28;8;7,23;24,52M;9,89%
7,28;7,43;7,53;7,27;7,18M;-1,89%
7,42;7,2;7,6;7,01;14,99M;3,06%
7,2;7,12;7,25;7,07;7,12M;0,56%
7,16;7,3;7,35;7,07;6,54M;-1,10%
7,24;7,18;7,3;6,95;10,23M;1,54%
7,13;7,28;7,28;7,09;7,68M;-2,06%
7,28;7,58;7,63;7,25;8,72M;-3,83%
7,57;7,33;7,69;7,33;13,16M;3,70%
7,3;7,47;7,48;7,06;10,57M;-0,54%
7,34;7,27;7,5;7,22;13,03M;1,66%
7,22;7,35;7,71;7,1;20,99M;-0,82%
7,28;7;7,44;6,77;33,99M;5,51%
6,9;6,3;6,9;6,3;20,05M;9,87%
6,28;6,48;6,58;6,25;7,08M;-3,09%
6,48;6,01;6,65;5,91;19,50M;6,93%
6,06;6,19;6,51;6,06;24,47M;0,00%
6,06;5,88;6,06;5,82;11,41M;9,98%
5,51;5,48;5,54;5,45;3,01M;1,66%
5,42;5,44;5,47;5,25;3,95M;-0,55%
5,45;5,52;5,58;5,45;2,82M;-1,09%
5,51;5,62;5,75;5,48;5,36M;-2,13%
5,63;6,07;6,07;5,45;23,38M;1,99%
5,52;5,52;5,52;5,52;2,96M;9,96%
5,02;4,96;5,08;4,94;4,35M;1,21%
4,96;4,91;4,99;4,8;2,24M;1,02%
4,91;5,15;5,17;4,91;3,66M;-4,66%
5,15;5,06;5,18;5,05;3,28M;2,18%
5,04;4,97;5,09;4,93;1,86M;2,65%
4,91;4,82;4,94;4,82;2,52M;1,87%
4,82;4,82;4,97;4,77;3,35M;0,00%
4,82;4,87;4,95;4,7;2,98M;-0,82%
4,86;5,02;5,12;4,8;3,01M;-3,19%
5,02;5,02;5,16;4,97;3,22M;0,40%
5;5,02;5,06;4,96;2,14M;-0,20%
5,01;5,14;5,23;5;2,08M;-1,76%
5,1;5,04;5,14;5;2,35M;1,19%
5,04;5,2;5,24;5,03;2,62M;-3,08%
5,2;5,09;5,24;5,09;1,96M;2,16%
5,09;5,06;5,15;4,98;2,46M;1,39%
5,02;5,21;5,28;4,97;3,14M;-3,65%
5,21;5,21;5,29;5,15;2,71M;0,19%
5,2;5,51;5,53;5,19;3,41M;-5,63%
5,51;5,55;5,66;5,5;3,23M;-0,72%
5,55;5,56;5,61;5,44;3,01M;-0,18%
5,56;5,86;5,88;5,56;5,19M;-4,96%
5,85;5,87;5,93;5,84;3,74M;-0,17%
5,86;5,97;6,05;5,83;4,70M;-1,84%
5,97;6,12;6,15;5,87;5,22M;-1,81%
6,08;5,99;6,3;5,99;8,22M;1,67%
5,98;6,14;6,23;5,98;3,87M;-2,61%
6,14;6,33;6,35;6,1;5,56M;-2,07%
6,27;6,11;6,27;6,09;6,32M;2,96%
6,09;6,14;6,2;6,04;4,13M;-0,81%
6,14;6,14;6,25;5,99;5,24M;0,33%
6,12;6,04;6,24;5,99;7,98M;1,32%
6,04;6,03;6,1;5,98;5,21M;0,33%
6,02;5,8;6,09;5,8;8,84M;4,70%
5,75;5,77;5,83;5,74;3,03M;0,17%
5,74;5,65;6,05;5,65;7,64M;1,59%
5,65;5,7;5,77;5,6;2,91M;-0,70%
5,69;5,69;5,79;5,61;4,27M;0,00%
5,69;5,95;6;5,68;5,88M;-4,21%
5,94;6,25;6,29;5,9;8,04M;-3,88%
6,18;6,33;6,4;6,03;12,76M;-0,32%
6,2;5,66;6,2;5,65;16,61M;9,93%
5,64;5,65;5,9;5,63;6,57M;1,81%
5,54;5,27;5,56;5,25;6,88M;6,13%
5,22;5,21;5,25;5,15;2,52M;0,97%
5,17;5,15;5,27;5,15;3,00M;1,17%
5,11;5,21;5,25;5,01;4,69M;-1,16%
5,17;5,44;5,47;5,17;4,46M;-4,79%
5,43;5,43;5,51;5,38;4,28M;0,00%
5,43;5,53;5,55;5,31;4,53M;-1,81%
5,53;5,4;5,66;5,35;4,54M;1,47%
5,45;5,86;5,91;5,45;3,67M;-6,68%
5,84;5,6;5,84;5,57;4,08M;4,29%
5,6;5,49;5,62;5,37;4,87M;2,75%
5,45;5,73;5,74;5,34;5,32M;-4,89%
5,73;5,8;5,9;5,72;3,20M;-1,21%
5,8;5,95;5,95;5,77;3,97M;-3,81%
6,03;5,8;6,04;5,76;5,95M;3,97%
5,8;6;6,13;5,8;6,84M;-3,01%
